water_source_type,region,district,source_name,nearest_settlement_name,latitude,longitude,permanent,functioning,bh_static_water_level,dw_static_water_level,dam_depth,berkad_depth,other_depth
Dug Well,Awdal,Borama,Abase Gaagaab 2,Cadaad,10.217,43.2068,Yes,Yes,,3.0,,,
Dug Well,Awdal,Borama,Laasdhiig 8,Boorame,9.9777,43.2125,Yes,Yes,,2.5,,,
Dug Well,Awdal,Borama,Laasdhiig 7,Boorame,9.9773,43.2131,Yes,Yes,,2.0,,,
Dug Well,Awdal,Borama,Dari Macaane 2,Boorame,9.9749,43.2163,Yes,Yes,,,,,
Dug Well,Awdal,Borama,Xamarta dur durka cad,Xamarta dur durka cad,10.1107,43.3546,yes,Yes,,3.0,,,
Dug Well,Awdal,Borama,Ceelbaxay,,10.32679,42.84128,,Yes,,2.0,,,
Dug Well,Awdal,Lughaye,Xuseen2,Xuseen,10.5602,43.2498,no,Abandoned,,,,,
Dug Well,Awdal,Lughaye,Xuseen1,Xusen,10.5605,43.2503,no,Abandoned,,,,,
Dug Well,Awdal,Lughaye,Geerisa 1,Fardo Lagu Xidh,10.6083,43.4323,Yes,Yes,,11.0,,,
Dug Well,Awdal,Lughaye,Geerisa 2,,10.6094,43.4329,,Yes,,10.0,,,
Dug Well,Awdal,Lughaye,Far do lugu xidh shellow,Far do lugu xidh,10.4098,43.4508,yes,Yes,,9.0,,,
Dug Well,Awdal,Lughaye,Xoog faras shellow,Xoog faras,10.4977,43.47,yes,Yes,,2.0,,,
Dug Well,Awdal,Lughaye,Xoog Faras,Fardo lagu Xidh,10.4879,43.4706,Yes,Yes,,8.0,,,
Dug Well,Awdal,Zeylac,Odayeadari4,0daywadari4,11.0859,43.5077,no,Abandoned,,,,,
Dug Well,Awdal,Zeylac,Timire shalaow,Toqoshi,11.326,43.4166,yes,Abandoned,,,,,
Dug Well,Awdal,Zeylac,Odaywadari3,Odaywadari,11.0878,43.5127,no,Abandoned,,,,,
Dug Well,Awdal,Zeylac,Odaywadari4,Odaywadari,11.0884,43.5133,no,No,,,,,
Dug Well,Awdal,Zeylac,Wadajir,Wadajir,10.4995,43.1632,no,Yes,,3.0,,,
Dug Well,Awdal,Zeylac,Dhadhab,Dhadhaab,11.0393,43.1997,no,Yes,,2.0,,,
Dug Well,Awdal,Zeylac,Xirsibo2,Xirsibo,11.0454,43.2071,no,Abandoned,,2.0,,,
Dug Well,Awdal,Zeylac,Xirsi bow 3,Xirsibo,11.1331,43.2243,no,Abandoned,,2.0,,,
Dug Well,Awdal,Zeylac,Xirsibow1,Xirsi bow1,11.1301,43.2249,no,No,,,,,
Dug Well,Awdal,Zeylac,Barisle2,Lawyacado,11.4383,43.2857,no,Abandoned,,,,,
Dug Well,Awdal,Zeylac,Barisle shallaw1,Lawyacado,11.4383,43.2873,yes,Abandoned,,,,,
Dug Well,Awdal,Zeylac,lawyacaddo,Tokhoshi,11.4325,43.295,Yes,Yes,,3.5,,,
Dug Well,Awdal,Zeylac,Barisleshalow3,Barisle,11.4218,43.2957,yes,Yes,,7.0,,,
Dug Well,Awdal,Zeylac,Langobaale Dug Well,Barisle,11.4246,43.2985,no,Abandoned,,,,,
Dug Well,Awdal,Zeylac,Tokoshi,Zeilac,11.3291,43.419,Yes,Yes,,3.0,,,
Dug Well,Awdal,Zeylac,Aasha Caddo,Ceel Gaal,11.1748,43.4404,,Yes,,3.0,,,
Dug Well,Awdal,Zeylac,CashacadoDug Well,Cashacado,11.1748,43.4407,no,Yes,,3.0,,,
Dug Well,Awdal,Zeylac,Odaywadari2,Odaywadari,11.0857,43.5074,no,Abandoned,,,,,
Dug Well,Awdal,Zeylac,c/qaadir,,10.51555,42.88788,,Yes,,,,,
Dug Well,Awdal,Zeylac,lawyacaddo,,11.4325,43.295,,Yes,,3.5,,,
Dug Well,Awdal,Zeylac,som asha cadda,,11.17484,43.44044,,Yes,,3.0,,,
Dug Well,Awdal,Zeylac,Tokoshi,,11.32905,43.41902,,Yes,,3.0,,,
Spring,Awdal,Baki,Gumbur Xassan,Gargaara,10.3062,43.773,No,No,,,,,
Dug Well,Awdal,Baki,Gego 2,Baki,10.0322,43.3664,Yes,Yes,,7.0,,,
Berkad,Awdal,Borama,,,9.8271,43.2759,,,,,,4.0,
Borehole,Awdal,Borama,Magaalo cad,,9.68264,43.29814,,,,,,,
Borehole,Awdal,Borama,Dhamuug BH 13,Amoud,9.9287,43.2457,Yes,Yes,100.0,,,,
Borehole,Awdal,Borama,Dhamuug BH12,Boorame,9.9425,43.2486,Yes,Yes,51.0,,,,
Borehole,Awdal,Borama,Cadey galiil,Cadey galiile,9.9363,43.25367,Yes,Yes,80.0,,,,
Borehole,Awdal,Borama,Dhamuug BH16,Boorame,9.9363,43.2537,Yes,Yes,42.0,,,,
Borehole,Awdal,Borama,Magaalo Cad,,9.6826,43.2981,,,,,,,
Borehole,Awdal,Borama,Dila BH1,Dila,9.7684,43.3359,Yes,Yes,30.0,,,,
Borehole,Awdal,Borama,Dila BH2,Dila,9.7667,43.3382,No,No,30.0,,,,
Borehole,Awdal,Borama,Dila BH3,Dila,9.7645,43.3418,No,No,25.0,,,,
Borehole,Awdal,Borama,Afraaga,,9.94326,43.07605,,Yes,106.0,,,,
Borehole,Awdal,Borama,Bor; B_039,,9.94372,43.21999,,Yes,,,,,
Borehole,Awdal,Borama,Bor; B_38,,9.93884,43.20155,,Yes,16.2,,,,
Borehole,Awdal,Borama,Bor;B_043,,9.94253,43.24866,,Yes,,,,,
Borehole,Awdal,Borama,Dhamuug,,9.97062,43.21814,,Yes,5.0,,,,
Borehole,Awdal,Borama,Dila,,9.76666,43.33813,,Yes,,,,,
Dam,Awdal,Borama,Abokor Dam,Baki,10.0347,43.3277,Yes,Yes,,,,,
Borehole,Awdal,Borama,Geed_Ceedee,,9.96597,43.17036,,Yes,89.0,,,,
Borehole,Awdal,Borama,Qolijeed,,10.08782,43.02899,,Yes,48.0,,,,
Dug Well,Awdal,Baki,BASHW6,,10.0353,43.3506,Yes,Yes,,3.2,,,
Dug Well,Awdal,Baki,Lafo Maroodi,Baki Town,10.0066,43.3915,Yes,Yes,,,,,
Dug Well,Awdal,Baki,BAGW15,,10.0192,43.3525,Yes,Yes,,7.0,,,
Dug Well,Awdal,Baki,Biyafoge,,10.5086,44.1847,,,,1.5,,,
Dug Well,Awdal,Lughaye,Garaacad 1,,10.7157,43.8222,,Yes,,4.0,,,
Dug Well,Awdal,Zeylac,Caliweci2,Caliweci,10.9676,43.1003,no,Abandoned,,,,,
Dug Well,Awdal,Zeylac,Heemaal,Jidhi,10.5602,43.1442,Yes,Yes,,,,,
Dug Well,Awdal,Borama,Cadaad,Cadaad Town,10.1056,43.2268,No,No,,14.0,,,
Spring,Awdal,Borama,Hadiile 4,Xamarta,10.1065,43.3215,Yes,Yes,,,,,
Spring,Awdal,Borama,Hadiile 3,Xamarta,10.1069,43.3245,Yes,Yes,,,,,
Dug Well,Awdal,Baki,Fuguxo,Ceel Sheekh,10.499,44.2023,Yes,Yes,,3.5,,,
Spring,Awdal,Borama,Gol Fadhi,Xoorey,10.1738,43.3365,Yes,Yes,,,,,
